Instance,Income
111994,44180.29297
111995,12080.72168
111996,47740.54688
111997,159098.4375
111998,20296.08594
111999,128516.6484
112000,101803.8906
112001,64285.66406
112002,61309.91016
112003,153724.2344
112004,-3426.891113
112005,172108.2344
112006,40830.76953
112007,93724.0625
112008,240462.2813
112009,127684.9063
112010,23979.0918
112011,20717.67969
112012,40282.57031
112013,19205.12109
112014,97746.03906
112015,38269.77734
112016,70091.96875
112017,23658.42578
112018,224036.25
112019,54145.3125
112020,22365.46094
112021,16667.70313
112022,79898.38281
112023,65171.86719
112024,35395.76953
112025,113903.25
112026,27710.30078
112027,88880.14063
112028,116908
112029,40185.02734
112030,136858.0156
112031,279575.9063
112032,285520.375
112033,88973.875
112034,107666.1172
112035,102983.9766
112036,224959.0625
112037,69796.54688
112038,224385.4063
112039,52024.1875
112040,56340.95703
112041,57185.28516
112042,73604.23438
112043,82775.84375
112044,33169.01563
112045,1167.759277
112046,269133.375
112047,47715.57813
112048,33397.96484
112049,86039.14844
112050,73916.95313
112051,67866.07031
112052,112961.7969
112053,196537.1719
112054,100875.0859
112055,39229.67578
112056,91804.46094
112057,2604.741699
112058,44060.91016
112059,37180.23828
112060,285619.75
112061,146252.5156
112062,168655.5313
112063,60369.60547
112064,13614.81152
112065,76413.21875
112066,14202.00781
112067,114160.4609
112068,66522.41406
112069,235345.3906
112070,248964.3438
112071,35455.13281
112072,125533.3906
112073,40983.39844
112074,14394.62207
112075,11001.23633
112076,136276.5781
112077,1199495.875
112078,10487.43359
112079,216943.0938
112080,62034.91797
112081,644444.125
112082,41500.75781
112083,33948.92188
112084,8166.151367
112085,39613.71094
112086,56969.31641
112087,58111.87109
112088,114192.4531
112089,59602.95703
112090,299387.1563
112091,34759.44922
112092,47756.25781
112093,95815.4375
112094,28009.95703
112095,33787.05859
112096,110844.3359
112097,24047.14648
112098,27464.2832
112099,44923.51563
112100,49713.28125
112101,119073.4141
112102,25044.67578
112103,166283.8906
112104,80962.75
112105,43625.32031
112106,94897.1875
112107,165500.4531
112108,79935.30469
112109,24103.55664
112110,74021.89063
112111,32437.90625
112112,84277.71875
112113,65151.95703
112114,84931.95313
112115,25409.84766
112116,42878.04297
112117,76983.46875
112118,25342.09766
112119,26924.16211
112120,365759.125
112121,154815.4375
112122,334198.7813
112123,184862.1406
112124,34006.64453
112125,202609.3906
112126,187528.3125
112127,20922.33789
112128,26496.73242
112129,98573.27344
112130,65682.85156
112131,2544.385498
112132,74583.24219
112133,206195.6406
112134,29917.5957
112135,37946.22266
112136,73797.01563
112137,8114.279297
112138,27999.22266
112139,90501.78125
112140,36708.16406
112141,36633.25781
112142,77212.95313
112143,240688.9531
112144,14587.13281
112145,71620.51563
112146,39418.74609
112147,223637.5938
112148,43549.88672
112149,76157.25781
112150,-1246.827759
112151,618963.375
112152,100908.8594
112153,76107.22656
112154,34288.21875
112155,87293.46875
112156,65278.25391
112157,101121.3281
112158,36308.33594
112159,285914.7188
112160,46948.47656
112161,164242.6719
